Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
HAIR TREATS Hair Mousse 320ml,curly,"Effectiveness:not effective
Texture:foamy as expected
Fragrance:smell good",0.5,,Styling Product,dulcec25,2025-07-21T13:31:38.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:19
HAIR TREATS Hair Mousse 320ml,curly,"Texture:maganda
Fragrance:mabango
Effectiveness:maganda ang quality talagang effective

MAGANDA yung mismong mousse pero sira yung takip na dumating",0.5,,Styling Product,kassandramadayag,2025-09-12T10:58:44.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:19
HAIR TREATS Hair Mousse 320ml,curly,"Effectiveness:nicee

Gandaa",0.5,,Styling Product,b*****y,2024-09-22T05:21:54.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:19
HAIR TREATS Hair Mousse 320ml,curly,"Sobrang lambot nya sa buhok, Sana mas maganda to sa buhok ko pag sinabayan ko ng leave in conditioner",0.5,,Styling Product,j*****a,2021-12-19T13:11:23.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:19
HAIR TREATS Hair Mousse 320ml,curly,*chef’s kiss* for curly hair!!,0.5,,Styling Product,bellaaaaa.sarza04,2025-10-06T17:29:49.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:19
HAIR TREATS Hair Mousse 320ml,curly,"Effectiveness:not yet tried
Fragrance:goods
Texture:not yet tried",0.5,,Styling Product,w*****o,2025-06-04T03:23:05.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:19
HAIR TREATS Hair Mousse 320ml,curly,Fast and smooth transaction.,0.5,,Styling Product,akakako,2025-02-10T04:09:27.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:19
HAIR TREATS Hair Mousse 320ml,curly,"Effectiveness:s
Fragrance:g
Texture:g",0.5,,Styling Product,markjosephodalager,2024-12-18T11:16:52.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:20
HAIR TREATS Hair Mousse 320ml,curly,"Effectiveness:good
Fragrance:smells really good
Texture:good

if it werent for the product id give it 2 stars only because it arrived broken and this would be too annoying for me to take the product with 2 hands",0.5,,Styling Product,rieorphic,2025-06-07T11:55:34.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:20
HAIR TREATS Hair Mousse 320ml,curly,solid to pang tatlo ko na na order dito legit and trusted kaya seller baka naman next may discount na me hehe. thank you seller!!!,0.5,,Styling Product,jarrickcapili,2024-09-15T18:24:48.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:20
HAIR TREATS Hair Mousse 320ml,curly,items were packed well,0.5,,Styling Product,light824,2024-08-31T13:34:15.000Z,https://shopee.ph/product/92328166/2137462808?d_id=36212&uls_trackid=54bu8m5801e3&utm_content=2rziVZpYavvxsynDAHz5LvqoLWBH,https://down-bs-us.img.susercontent.com/ph-11134211-7qul1-lfj5pwlg4jkv77.jpg,This gently nourishes hair while providing long-lasting volume and fullness without weighing hair down. Its formula will give your hair the lift it needs; so you can enjoy bouncy; smooth and touchably sioft hair all day long.,₱285,2025-12-10 23:03:20
