Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,"Texture:⭐⭐⭐⭐⭐
Effectiveness:⭐⭐⭐⭐⭐
Fragrance:⭐⭐⭐⭐⭐

It's been a year since I started Human Nature. So far nakahelp talaga sa hair fall problem ko. Also, I like the fact na organic, smells good and effective talaga. :)",0.974373698234558,daily-use; softening; repair,Conditioner,k*****e,2022-06-07T17:20:39.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,"Texture:fine
Effectiveness:good
Fragrance:smell good

Maganda siya sa buhok",0.9755027890205384,daily-use; softening; repair,Conditioner,eckempis,2023-09-25T02:40:41.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,Legit and fast delivery. Secured item. Thanks po,0.803824782371521,daily-use; softening; repair,Conditioner,s*****l,2025-05-03T07:19:40.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,"Effectiveness:good
Texture:good
Fragrance:good

Photo not related. Got my orders early. Items were secured and in good condition. Thank you, seller! Until next order.",0.9187391996383668,daily-use; softening; repair,Conditioner,l*****n,2024-07-21T15:56:22.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,"Effectiveness:ive been using their confitioner for quite dome time. Its not very “slidy” like grocery conditioners
Fragrance:smells nice. Love it!
Texture:ok consistency",0.954315423965454,daily-use; softening; repair,Conditioner,a*****z,2022-02-06T05:31:53.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,"Effectiveness:10/10
Texture:10/10
Fragrance:10/10

Ang lamig sa anit and hindi siya naglleave ng residue after mo magshower. Recommended 💯",0.855363130569458,daily-use; softening; repair,Conditioner,kawaiifinds,2024-06-14T14:26:52.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,as expected..well packed palagi ung parcel..may mga tape din ung takip..been ordering on their shop so many times..and still consistent pa din sila sa good service..thank you so much..and God bless..,0.7580960392951965,daily-use; softening; repair,Conditioner,g*****p,2022-06-01T10:02:37.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,"Fragrance:mabango

Maganda sya sa hair.",0.9809360504150392,daily-use; softening; repair,Conditioner,a*****a,2024-03-10T07:32:09.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,"Well packed with eco-friendly wrapper.
No spills.
Item was very secured.
Receipt was included.
Thank you seller.",0.8391657471656799,daily-use; softening; repair,Conditioner,m*****e,2023-04-01T01:38:01.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
Human Nature Strengthening Conditioner CGM Friendly Hairfall And Breakage Control,wavy,thank you shopee and seller for shipping the items on time and in good packaging. effective and excellent quality. will definitely order again,0.8019376397132874,daily-use; softening; repair,Conditioner,g*****c,2022-06-30T07:25:49.000Z,https://shopee.ph/Human-Nature-Strengthening-Conditioner-Hairfall-And-Breakage-Control-(No-Harmful-Chemicals)-i.623745827.15919140870?extraParams=%7B%22display_model_id%22%3A104547981475%2C%22model_selection_logic%22%3A3%7D&sp_atk=3515d3eb-722b-4e17-9283-6bdcdaed7245&xptdk=3515d3eb-722b-4e17-9283-6bdcdaed7245,https://down-bs-us.img.susercontent.com/8affbca7aae75b660dfec1a4cf4a7c0d.jpg,"At least 99.07% Natural | Sulfate-free | Silicone-free | Paraben-free

Best for: Lessening hair fall and breakage



80% experienced less hair fall*

90% observed thicker hair*

✓ Fortifies strands against breakage with hydrolyzed wheat protein

✓ Softens & smoothens strands with sunflower, avocado & soybean oils

✓ Toxin-free For even stronger hair, use after our Natural Strengthening Shampoo.

*30-day clinical trial with continued use",₱199,2025-12-02 22:56:51
