Product Name,HighLight,Description,Specification,feedback,label,score
"HIMALAYA Anti-Hair Fall Shampoo, (1 L)",Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall,"In this day and age, several factors can affect the health of your hair. Some of the most common hair problems faced these days are hair fall, dandruff, damaged Hair, frizzy hair, split ends, dry hair, rough hair, etc. Our shampoo significantly reduces itchiness and provides long lasting relief to the scalp. It cleans the scalp and protects it from infections & dryness. Himalaya Anti-Dandruff Shampoo is enriched with the goodness of Tea Tree Oil & Aloe Vera, which are known to remove up to 100% dandruff and prevent it from coming back. Use Himalaya Anti-Dandruff Conditioner after shampoo for best results.","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1",packing was not good ..i baught in 365 ...1 ltr quality :- very nice packaging... m always Himalaya lover.. I love this shampoo.. I got it for 317.. very reasonable :- Best price at offer loved it,positive,0.5666095614433289
L'Oréal Paris Total Repair 5 Repairing Shampoo with Keratin XS (1 L),Damage Repair Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"5 Problems.1 Solution. L'Oreal Paris Total Repair 5 Repairing Shampoo helps fight against the five visible signs of damaged hair - Hair fall, dryness, roughness, dullness and split ends without weighing it down. Damaged hair can lack the natural cement which keeps the hair strong and resilient. To ensure cohesion and strength, the L'Oreal Laboratories have created Ceramide-Cement technology to replicate the hair's natural cement, targeting the 5 problems. Explore our best hair products to revive and repair damaged hair. Highlights: 1. Helps fight against the five visible signs of damaged hair - hair fall, dryness, roughness, dullness, and split ends 2. Shampoo for damaged hair 3. With Protein + Ceramide 4. Fights the 5 signs of damage.","Applied For	Damage Repair
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","Good shampoo but it's fragrance is too strong that I don't like and it will make your hair little bit smooth and for shiness it doesn't affect on my so it is ok ok product why the way it is not that much value for money 💸 :- Amazing purchased I'm very happy ,best in the market , I bought two products and got in half mrp rupees and delivery boy is very good behaviour. Again shopping dis product amazing purchased I'm very happy with :- best shampoo with best quality and no harm. perfect lather and gentle care of hair",positive,0.7260556817054749
Kesh King Organic Onion Shampoo with Curry Leaves | Boosts Hair Growth (600 ml),"Anti-hair Fall, Deep Conditioning, Dryness Care, Hair Shine, Nourishment & Moisturization, Scalp Cleansing, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Each 10 ml contains extracts of: Allium cepa (Piyaja) Sd. 51.5 mg, Aloe barbadensis (Aloe vera) Lf., Symplocos racemosa (Lodhra) St.Bk., Terminalia chebula (Haritaki) Fr., Terminalia belerica (Bibhitaka) Fr. 25.75 mg each, Emblica officinalis (Amalaki) Dr.Fr. 51.5 mg, Ocimum sanctum (Tulasi) Wh.Pl. 15.45 mg, Acacia concinna (Shikakai) Pod., Rubia condifolia (Bhringaraja) Rt., Nardostachys jatamansi (Jatamansi) Rz., Zizyphus mauritiana (Kola) Lf., Lawsonia inermis (Henna) Lf., Mesua ferrea (Nagakesara) Fl., Cyperus rotundus (Musta) Rz., Trigonella foenum-graecum (Methi) Sd., Centella asiatica (Mandukparni) Wh.Pl., Tribulus terrestris (Goksura) Fr. 10.30 mg each, Azadirachta indica (Neem) Lf. 11.33 mg, Pongamia pinnata (Karanja) seed oil 1.03 mg, Citrus limon (Lemon) oil, Ocimum basilicum (Tulasi) oil, Rosmarinus officinalis (Rosemary) leaf oil 0.01 mg each; Sugandhit dravya. Excipients: Base q.q.; Preservatives: DMDM Hydantoin, Methylchloroisothiazolinone (and) Methylisothiazolinone","Emami Kesh King Scalp and Hair Medicine Ayurvedic Hairfall Expert Onion Shampoo. Reduce hairfall and Boost hair growth with Kesh King Onion Shampoo. This unique and potent ayurvedic formula is filled with the goodness of Onion and 21 Ayurvedic Herbs which reduces hairfall, boosts hair growth and makes hair silky, shiny and smooth. It is filled with fragrance of flowers. Kesh King Onion Shampoo is Paraben and Phthalate free, contains no artificial colours, is cruelty free and FDA approved. For best results, use with Kesh King Onion Oil and Conditioner. With 21 Herbs & Fragrance of Flowers. Reduces Hairfall. Boosts Hair Growth. Makes hair silky, shiny and smooth.","Applied For	Anti-hair Fall, Deep Conditioning, Dryness Care, Hair Shine, Nourishment & Moisturization, Scalp Cleansing, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Each 10 ml contains extracts of: Allium cepa (Piyaja) Sd. 51.5 mg, Aloe barbadensis (Aloe vera) Lf., Symplocos racemosa (Lodhra) St.Bk., Terminalia chebula (Haritaki) Fr., Terminalia belerica (Bibhitaka) Fr. 25.75 mg each, Emblica officinalis (Amalaki) Dr.Fr. 51.5 mg, Ocimum sanctum (Tulasi) Wh.Pl. 15.45 mg, Acacia concinna (Shikakai) Pod., Rubia condifolia (Bhringaraja) Rt., Nardostachys jatamansi (Jatamansi) Rz., Zizyphus mauritiana (Kola) Lf., Lawsonia inermis (Henna) Lf., Mesua ferrea (Nagakesara) Fl., Cyperus rotundus (Musta) Rz., Trigonella foenum-graecum (Methi) Sd., Centella asiatica (Mandukparni) Wh.Pl., Tribulus terrestris (Goksura) Fr. 10.30 mg each, Azadirachta indica (Neem) Lf. 11.33 mg, Pongamia pinnata (Karanja) seed oil 1.03 mg, Citrus limon (Lemon) oil, Ocimum basilicum (Tulasi) oil, Rosmarinus officinalis (Rosemary) leaf oil 0.01 mg each; Sugandhit dravya. Excipients: Base q.q.; Preservatives: DMDM Hydantoin, Methylchloroisothiazolinone (and) Methylisothiazolinone
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","This is my first review and will update after using this product for three months. Till now I would say I am very happy with this product. Only after using it for a couple of weeks my hair seems to have grown thicker. Moreover the fragnance of this shampoo is one of the best I have used yet. Though I know this is not for fragnance but I have to give the company a thumbs up for keeping fragnance as an important factor in Ayurvedic Shampoo. More updates coming soon... :- Loved it. I can see a clear difference in my hair just in 2 wash.  Without any 2nd thought just go for it.I m again here with my reviews after using 1 bottle of this shampoo. Believe me, it's 100% beneficial in reducing hair fall. I can feel smoothness and density in my hair. I m very much impressed with this shampoo. Already ordered for 2nd bottle. :- Worth buying 😘 I'm so happy that I got my product fast. ..And so happy with order",positive,0.9139307141304016
"WOW SKIN SCIENCE Red Onion Black Seed Oil Shampoo With Red Onion Seed Oil Extract, Black Seed Oil & Pro-Vitamin B5 - No Parabens, Sulphates, Silicones, Color & Peg, 1000 ml (1 L)",Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"Tackle hair loss, scalp buildups and dull, weak hair with WOW Skin Science Red Onion Black Seed Oil Shampoo. The shampoo, formulated with natural ingredients, helps strengthen hair follicles and clarify blocked roots. Suitable for all hair types, this shampoo cleanses and moisturizes your hair and scalp and helps to improve hair texture. It is infused with red onion extract with strong antioxidant properties that help protect the scalp and hair, promotes blood circulation to the roots. Black seed oil rich in fatty acids nourishes scalp and roots. Sweet almond oil keeps the scalp and hair conditioned. It can be used to hydrate the roots and scalp and help make hair look healthy and lustrous.","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","Wow, this is really a trusted brand. Which is really fruitful. I've been using these things for a long time. Honestly, I am very happy to use the products of this brand, because like other brands, it not only deceives the mind by advertising, but also worksAnd not only this Onion shapmoo tie, each of these shampoos brings a different dimension to the hair. It is made with raw onion and it is not understood by its smell.As it is sulfate free, you will get a different feeling in your hair like ... :- I am using this product since one year & I am also using wow Hair oil & conditioner as well. I really seen good changes over my hair it also helped me to get rid of my dandruff. So overall I love wow Hair Product and I also want to suggest one thing to everyone before start using this product do a patch test as written on the bottle because it help you to know this product good for you or not even before start using any Hair or face product do a patch test atleast once. :- Worth it ... product is realy nice it's worked to me..but Pakeging is not good otherwise allover 👍 guys go for it.. Thanku flipkart for good delivered...",positive,0.7407869696617126
DOVE Hair Fall Rescue Shampoo (340 ml),Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Ingredients: On Tag,"
	You know what’s one of the greatest worries women have? It’s hair fall. And seeing hair strands in our comb can be daunting. That’s why Dove brings you this hair fall rescue shampoo. Combat hair fall and add some bounce to your hair by using this shampoo.

Healthy Hair
	Apart from combating hair fall, this shampoo deeply nourishes damaged hair from root to tip and makes hair visibly fuller.

Gentle Formula
	This shampoo is so gentle that you can use it every day.
","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	Ingredients: On Tag
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","good shampoo in terms of silky hair. But if u buy this for hairfall rescue, it will work for that too... it will rescue you from hairfall permanently by making you bald. Not easy to notice when you bath but surely you'll lose hair. Once i stopped using this, my hair volume was normal again. :- I got a good packing of products. I have been using for 4-5 years.  its texture is so creamy. Me & My mom both are using dove shampoo. It's give us shiny nd smooth Hair. Love it 😍 :- Nice product flipkart delivery is very fast and good packagingthis is very good fragrance and nice smell hairfall is now stopped little bit",positive,0.48751282691955566
Plum Coconut Milk & Peptides strength & shine shampoo | Smoothens strands (250 ml),"Daily Care, Damage Repair, Softening & Silkening, Dryness Care, Frizz Control, Hair Shine Shampoo Ideal For: Men & Women Suitable For: All Hair Types","It takes just 3 minutes to get shiny and strong hair! Say goodbye to dullness, and hello to shine!
Softer, shinier, and healthier-looking hair is what this creamy, nourishing shampoo is all about. Enriched with Coconut Milk & Pea Peptide!
Ingredients:
• Coconut Milk – An ingredient that is rich in lipids (blend of fatty acids) and filled with vitamins, coconut milk helps enhance hair’s natural shine and restores hair moisture. Being rich in fatty acids, coconut has a high affinity for hair proteins & because of its low molecular weight, it can penetrate the hair shaft and keeps hair healthy and moisturised
• Pea Peptide – They are short chains of amino acids which act as building blocks of proteins like keratin in the hair. They help strengthen hair and smoothen out strands as well.","Applied For	Daily Care, Damage Repair, Softening & Silkening, Dryness Care, Frizz Control, Hair Shine
Hair Type	All Hair Types
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1","Very nice shampoo worth money...After one wash my hair was very shine and silky ....Super shampoo i love it :- Same as ayur coconut shampoo, but only difference ayur shampoo is cheaper cost than plum coconut shampoo.....not recommended anyone....better buy ayur coconut shampoo instead of this :- ok product",positive,0.5887739658355713
DOVE Hair Fall Rescue Nourishing Shampoo (1 L),Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Ingredients: On Tag,"
	You know what’s one of the greatest worries women have? It’s hair fall. And seeing hair strands in our comb can be daunting. That’s why Dove brings you this hair fall rescue shampoo. Combat hair fall and add some bounce to your hair by using this shampoo.

Healthy Hair
	Apart from combating hair fall, this shampoo deeply nourishes damaged hair from root to tip and makes hair visibly fuller.

Gentle Formula
	This shampoo is so gentle that you can use it every day.
","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	Ingredients: On Tag
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","good shampoo in terms of silky hair. But if u buy this for hairfall rescue, it will work for that too... it will rescue you from hairfall permanently by making you bald. Not easy to notice when you bath but surely you'll lose hair. Once i stopped using this, my hair volume was normal again. :- I got a good packing of products. I have been using for 4-5 years.  its texture is so creamy. Me & My mom both are using dove shampoo. It's give us shiny nd smooth Hair. Love it 😍 :- Nice product flipkart delivery is very fast and good packagingthis is very good fragrance and nice smell hairfall is now stopped little bit",positive,0.48751282691955566
HEAD & SHOULDERS Cool Menthol Anti-Dandruff Shampoo for Scalp Protection (340 ml),"Anti-dandruff, Scalp Cleansing Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Ingredients: On Tag",All types of shampoos are giving you best result for all types of hair problem all shampoo are best for you. Nourish your scalp with the moisturizing goodness of real natural effect softens and cleanses your hair leaving it healthier with every wash. Giving Long Strongest & Best Hair .giving You All Problems Free Hair Afte Use This Shampoo,"Applied For	Anti-dandruff, Scalp Cleansing
Hair Type	All Hair Types
Composition	Ingredients: On Tag
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	india","Not up to the mark of earlier shampoos I used of H&S. I have used H&S Cool Menthol before, you will get cool soothing effect after use. This seems to be sub standard. Many people rated here might be never used the standard H&S Cool Menthol Shampoo or they are first time users.1/4th of the price means the quality also 1/4th as it seems to me. :- Shampoo Nice and good product  and cool menthol is super :- super product..feels cool cool after applying in my scalp..it is also helpful for dandruff..best shampoo.. packaging was also good",positive,0.6686723232269287
"Dabur Almond Intense Repair Shampoo for Dull, Dry and Weak Hair (650 ml)",Dryness Care Shampoo Ideal For: Men & Women Suitable For: Dry Hair Composition: Almond Extract,"If you suffer from dry hair, and want a remedy that's natural and won't further damage your hair, Dabur Almond Shampoo is your friend.

This ultra nourishing shampoo is made using Almond Vita Complex and Milk extracts for smooth hair and a scalp that feels replenished. Regular use will make your hair silky soft and shine beautifully.","Applied For	Dryness Care
Hair Type	Dry Hair
Composition	Almond Extract
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1",Best shampooo..I think it really suitable for all hair..and also have a good smell...really worth it..you musyt buy....you will love it... definitely... :- Nice product but filhal mena abhi es product ko use nhi kiya h according to price nice product I'm buy this product only 180 :- Good shampoo,positive,0.707009494304657
HEAD & SHOULDERS Smooth and Silky Anti Dandruff Shampoo for Softer and Smoother Hair (1 L),Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: NA,"Go from dry and frizzy hair to smooth and silky hair in just one wash. Head & Shoulders Smooth & Silky Anti-Dandruff Shampoo is formulated with added moisturizers to cleanse and restore dry, frizzy hair and leave you with dandruff free hair*. Go ahead, run your hands through your hair again.
(*visible flakes only, with regular use) - 24 hour frizz control for smooth, beautiful-looking hair - Gentle pH balanced formula for everyday use, even on color treated hair","Applied For	Anti-dandruff
Hair Type	All Hair Types
Composition	NA
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1",awesome product... worth of money and great discount also... very happy with Flipkart 😍 :- very much satisfied with this product worth every penny.. and it packed very nicely go for it guys. so I give five star but actually it must be more than ten star  really very nice :- Such a nice purchase 😍😍 packaging was too good and fast delivery........ it's make really smooth and silky  hair ....... love the sweet fragrance 😍😍 Nothing to tell more just go for it 👍 highly recommend it,positive,0.8091443181037903
